X	Y	Z	U	V	W	K	Epsilon
0	0	0	0	0	0	0.001681095	10.78650761
0	0.00064	0	0.196898474	-1.04E-10	0	0.002157214	0.073876745
0	0.00128	0	0.244303201	-1.08E-11	0	0.002256182	0.036539191
0	0.00192	0	0.271694396	1.55E-09	0	0.002271918	0.024214545
0	0.00256	0	0.291147619	1.19E-09	0	0.002267806	0.018072555
0	0.0032	0	0.306294681	5.93E-10	0	0.002256067	0.014397082
0	0.00384	0	0.318752673	-8.73E-10	0	0.002240725	0.011943317
0	0.00448	0	0.329329539	-2.67E-09	0	0.002223418	0.010197634
0	0.00512	0	0.338543176	-3.24E-09	0	0.002204992	0.008888678
0	0.00576	0	0.346727481	-6.25E-09	0	0.002185895	0.007867689
0	0.0064	0	0.354095108	-7.66E-09	0	0.002166381	0.007049351
0	0.00704	0	0.360802466	-8.67E-09	0	0.002146609	0.006378187
0	0.00768	0	0.366976589	-7.02E-09	0	0.00212668	0.005815198
0	0.00832	0	0.37265018	-4.61E-09	0	0.002106654	0.005344571
0	0.00896	0	0.377968832	-3.63E-09	0	0.002086588	0.004934269
0	0.0096	0	0.382915721	-3.52E-09	0	0.002066509	0.004582522
0	0.01024	0	0.387575578	-5.58E-09	0	0.00204644	0.004272738
0	0.01088	0	0.39198225	-7.85E-09	0	0.002026395	0.003997663
0	0.01152	0	0.39615847	-9.60E-09	0	0.002006387	0.003752315
0	0.01216	0	0.400125082	-1.11E-08	0	0.001986425	0.003532443
0	0.0128	0	0.403901175	-1.46E-08	0	0.001966514	0.003334417
0	0.01344	0	0.407504275	-1.61E-08	0	0.001946661	0.003155147
0	0.01408	0	0.41095041	-1.32E-08	0	0.001926869	0.002992
0	0.01472	0	0.414254253	-1.28E-08	0	0.001907139	0.002842737
0	0.01536	0	0.417429229	-1.66E-08	0	0.001887473	0.002705456
0	0.016	0	0.420487614	-2.05E-08	0	0.001867871	0.002578543
0	0.01664	0	0.423440629	-2.27E-08	0	0.001848331	0.002460627
0	0.01728	0	0.426298524	-2.31E-08	0	0.001828852	0.002350549
0	0.01792	0	0.429044014	-2.35E-08	0	0.001809451	0.002249315
0	0.01856	0	0.431697145	-2.31E-08	0	0.001790121	0.00215497
0	0.0192	0	0.4342786	-2.21E-08	0	0.00177085	0.002065799
0	0.01984	0	0.436791618	-2.03E-08	0	0.001751636	0.001981467
0	0.02048	0	0.439200612	-1.92E-08	0	0.00173252	0.00190411
0	0.02112	0	0.441557106	-1.81E-08	0	0.001713457	0.001830103
0	0.02176	0	0.443858472	-1.69E-08	0	0.001694451	0.001759599
0	0.0224	0	0.446069563	-1.47E-08	0	0.001675547	0.001694529
0	0.02304	0	0.448243783	-1.37E-08	0	0.001656688	0.001631588
0	0.02368	0	0.450351717	-1.55E-08	0	0.001637912	0.001572426
0	0.02432	0	0.452403167	-1.91E-08	0	0.001619214	0.001516314
0	0.02496	0	0.454420486	-2.38E-08	0	0.001600564	0.001462043
0	0.0256	0	0.456360902	-2.64E-08	0	0.001582031	0.001411702
0	0.02624	0	0.45828442	-2.88E-08	0	0.001563526	0.001362204
0	0.02688	0	0.460131277	-3.20E-08	0	0.001545152	0.001316411
0	0.02752	0	0.461960823	-3.53E-08	0	0.001526812	0.001271409
0	0.02816	0	0.46372728	-3.89E-08	0	0.001508592	0.001229289
0	0.0288	0	0.465471786	-4.15E-08	0	0.001490419	0.001188117
0	0.02944	0	0.467160722	-4.19E-08	0	0.001472365	0.001149344
0	0.03008	0	0.468828295	-4.15E-08	0	0.001454363	0.001111442
0	0.03072	0	0.470442333	-3.90E-08	0	0.00143649	0.001075723
0	0.03136	0	0.472040327	-3.66E-08	0	0.00141866	0.001040621
0	0.032	0	0.473581825	-3.41E-08	0	0.001400985	0.001007694
0	0.03264	0	0.475116925	-3.21E-08	0	0.001383329	0.000975
0	0.03328	0	0.476587972	-3.37E-08	0	0.001365871	0.000944631
0	0.03392	0	0.478059018	-3.52E-08	0	0.001348412	0.000914263
0	0.03456	0	0.479468731	-3.91E-08	0	0.001331168	0.000885994
0	0.0352	0	0.480871183	-4.32E-08	0	0.001313949	0.000857975
0	0.03584	0	0.482231342	-4.56E-08	0	0.001296898	0.000831321
0	0.03648	0	0.483566805	-4.69E-08	0	0.001279945	0.000805465
0	0.03712	0	0.484882386	-4.73E-08	0	0.001263081	0.000780214
0	0.03776	0	0.48615219	-4.52E-08	0	0.001246423	0.000756356
0	0.0384	0	0.487421994	-4.32E-08	0	0.001229765	0.000732499
0	0.03904	0	0.488633107	-4.25E-08	0	0.001213406	0.000710325
0	0.03968	0	0.489838355	-4.19E-08	0	0.001197078	0.00068832
0	0.04032	0	0.491014862	-4.18E-08	0	0.001180916	0.000667093
0	0.04096	0	0.492156415	-4.20E-08	0	0.001164956	0.000646812
0	0.0416	0	0.493297968	-4.23E-08	0	0.001148996	0.000626531
0	0.04224	0	0.49438085	-4.11E-08	0	0.001133419	0.00060775
0	0.04288	0	0.495459324	-3.98E-08	0	0.00111787	0.000589081
0	0.04352	0	0.496516039	-3.84E-08	0	0.001102482	0.000570937
0	0.04416	0	0.497531833	-3.67E-08	0	0.001087395	0.000553781
0	0.0448	0	0.498547628	-3.50E-08	0	0.001072307	0.000536626
0	0.04544	0	0.499519441	-3.27E-08	0	0.001057582	0.000520476
0	0.04608	0	0.500472756	-3.01E-08	0	0.001043009	0.000504748
0	0.04672	0	0.50142607	-2.76E-08	0	0.001028435	0.00048902
0	0.04736	0	0.502316791	-2.81E-08	0	0.001014436	0.000474649
0	0.048	0	0.503207652	-2.85E-08	0	0.001000435	0.000460275
0	0.04864	0	0.504083228	-2.89E-08	0	0.00098659	0.000446215
0	0.04928	0	0.5049115	-2.92E-08	0	0.000973224	0.000433129
0	0.04992	0	0.505739773	-2.95E-08	0	0.000959858	0.000420044
0	0.05056	0	0.506540904	-2.84E-08	0	0.000946795	0.00040749
0	0.0512	0	0.507306375	-2.56E-08	0	0.000934129	0.000395635
0	0.05184	0	0.508071846	-2.27E-08	0	0.000921463	0.00038378
0	0.05248	0	0.508801478	-2.19E-08	0	0.000909232	0.000372596
0	0.05312	0	0.509503929	-2.26E-08	0	0.000897332	0.000361921
0	0.05376	0	0.510206381	-2.33E-08	0	0.000885432	0.000351246
0	0.0544	0	0.510867308	-2.55E-08	0	0.000874078	0.000341315
0	0.05504	0	0.511506524	-2.84E-08	0	0.00086301	0.000331772
0	0.05568	0	0.51214574	-3.14E-08	0	0.000851941	0.00032223
0	0.05632	0	0.512740675	-3.36E-08	0	0.000841498	0.000313449
0	0.05696	0	0.513316552	-3.55E-08	0	0.000831324	0.000304995
0	0.0576	0	0.513892429	-3.74E-08	0	0.000821149	0.000296542
0	0.05824	0	0.51442405	-3.65E-08	0	0.000811641	0.00028882
0	0.05888	0	0.514936647	-3.43E-08	0	0.000802418	0.000281412
0	0.05952	0	0.515449245	-3.22E-08	0	0.000793195	0.000274005
0	0.06016	0	0.515920182	-2.75E-08	0	0.000784634	0.000267261
