Position (m),Deflection (mm)
0.0,0.0
0.0,0.0
0.0015,-0.0001017048147638094
0.0015,-6.796738167767733e-05
0.003,-0.00016485612906207852
0.003,-0.00013437951118215851
0.0045000000000000005,-0.00022175899883932878
0.0045000000000000005,-0.0001914980354056266
0.006,-0.00027682686719110867
0.006,-0.0002470531033880089
0.0075,-0.00033366108847001003
0.0075,-0.00030411738119658413
0.009000000000000001,-0.00039402175820981
0.009000000000000001,-0.00036462559390898014
0.0105,-0.0004297380703994246
0.0105,-0.0004590353897494174
0.012,-0.0005002163992869879
0.012,-0.0005294348825346897
0.0135,-0.0005765748375562844
0.0135,-0.0006057205034736747
0.015,-0.0006591686349898793
0.015,-0.0006882396803353882
0.0165,-0.0007772357224033155
0.0165,-0.0007482451191165646
0.018000000000000002,-0.0008728784206385583
0.018000000000000002,-0.000843975961535281
0.0195,-0.0009752844149513231
0.0195,-0.0009464784326041375
0.021,-0.0010558299739256288
0.021,-0.0010845312344056422
0.0225,-0.0011720784883767709
0.0225,-0.001200667268632479
0.024,-0.0012952497782242841
0.024,-0.0013237190109373711
0.025500000000000002,-0.0014253530187153243
0.025500000000000002,-0.001453696412198587
0.027,-0.0015905968904668826
0.027,-0.001562384840604277
0.0285,-0.0017344083625587307
0.0285,-0.0017063324050298578
0.03,-0.0018571757349858085
0.03,-0.0018851115512546399
0.0315,-0.002014889490358216
0.0315,-0.0020426817483116173
0.033,-0.002207090164228412
0.033,-0.002179444321866859
0.0345,-0.0023508079037685503
0.0345,-0.002378304961712952
0.036000000000000004,-0.002556292045758041
0.036000000000000004,-0.0025289457201732256
0.0375,-0.0027138216617877894
0.0375,-0.0027410156658339555
0.039,-0.002932438872863411
0.039,-0.0029053984766282104
0.0405,-0.003103638108298202
0.0405,-0.0031305238639981895
0.042,-0.0033352322408675594
0.042,-0.0033085019478782452
0.043500000000000004,-0.0035465252013049844
0.043500000000000004,-0.003519951019662093
0.045,-0.0037643636801570836
0.045,-0.003737946116475712
0.0465,-0.003962447896801432
0.0465,-0.003988708451335271
0.048,-0.004219520200566956
0.048,-0.004193416953180046
0.0495,-0.004456759576176259
0.0495,-0.004430813859206001
0.051000000000000004,-0.0046745992007382045
0.051000000000000004,-0.0047003872235505985
0.0525,-0.004924733595622712
0.0525,-0.004950363807634363
0.054,-0.0052066500267597335
0.054,-0.005181177705187441
0.0555,-0.005443892239962119
0.0555,-0.00546920662031928
