Position (m),Deflection (mm)
0.0,0.0
0.0,0.0
0.01,-0.0004250414400168331
0.01,-0.0003406342815633762
0.02,-0.0009786779772592276
0.02,-0.0009081151324145805
0.03,-0.001828740572216031
0.03,-0.0017587894916460665
0.04,-0.002976090173353233
0.04,-0.0029088533043183594
0.05,-0.004347545414113927
0.05,-0.004412206024056553
0.06,-0.006125561649248804
0.06,-0.006063538184857891
0.07,-0.008045341866629464
0.07,-0.008104736583423994
0.08,-0.010338399890819378
0.08,-0.01028163028892957
0.09,-0.012815291514810756
0.09,-0.012761142535506781
0.1,-0.015524179416425607
0.1,-0.01547264715553276
0.11,-0.018404930310481474
0.11,-0.018453849683834955
0.12,-0.021593104472844425
0.12,-0.021546794182381934
0.13,-0.024887057050430806
0.13,-0.024930762063855583
0.14,-0.028414553447312557
0.14,-0.02845565699077323
0.15,-0.03211813421345176
0.15,-0.03215664009469393
0.16,-0.03598666650892269
0.16,-0.03602257853586792
0.17,-0.04004235579498882
0.17,-0.040009033814365304
0.18,-0.04417413593040338
0.18,-0.044204871672780505
0.19,-0.04847088897857881
0.19,-0.04849904229111909
0.2,-0.052888225410938246
0.2,-0.05291380010264499
0.21,-0.05741509404893693
0.21,-0.05743809392672627
0.22,-0.06204046016427352
0.22,-0.06206088901609899
0.23,-0.0667533053683468
0.23,-0.06677116688664299
0.24,-0.07154262569849688
0.24,-0.07155792338412426
0.25,-0.07641015944906429
0.25,-0.07639742224203971
0.26,-0.08130667271813444
0.26,-0.08131685742379292
0.27,-0.0862593086252641
0.27,-0.08626696354713159
0.28,-0.09124442699673135
0.28,-0.09124968922495424
0.29,-0.09625451844490747
0.29,-0.09625720936685088
0.3,-0.1012985090102535
0.3,-0.10129488054645044
