Position (m),Deflection (mm)
0.0,0.0
0.0,0.0
0.01,-0.0041023581940255825
0.01,-0.004515388149680994
0.02,-0.01061162060727412
0.02,-0.01026400932671691
0.03,-0.020477398257886893
0.03,-0.0201160551696117
0.04,-0.034276850793995034
0.04,-0.03391752198477509
0.05,-0.05165839345917721
0.05,-0.05201669102022159
0.06,-0.0733222785335866
0.06,-0.07367911312137701
0.07,-0.0988907868493485
0.07,-0.09924618265086821
0.08,-0.12834743125801934
0.08,-0.12870139080819737
0.09,-0.16167637204649826
0.09,-0.16202890129293487
0.1,-0.19886195946135526
0.1,-0.19921306082485796
0.11,-0.23988858082091943
0.11,-0.24023825597607013
0.12,-0.2850888871270423
0.12,-0.2847406366970252
0.13,-0.33374936837721375
0.13,-0.3334025411940288
0.14,-0.38585872384057296
0.14,-0.3862041292633097
0.15,-0.4420936303135071
0.15,-0.44243761546627863
0.16,-0.5024342889757847
0.16,-0.5020917226014625
0.17,-0.5658374790208668
0.17,-0.5661786281084061
0.18,-0.6333153942110563
0.18,-0.6336551275034669
0.19,-0.7045099791312414
0.19,-0.704848298120162
0.2,-0.7794057610595359
0.2,-0.7797426672365995
0.21,-0.8583227784495763
0.21,-0.8579872835927381
0.22,-0.9405731916745698
0.22,-0.9402391066463269
0.23,-1.026478483145797
0.23,-1.0261458064545184
0.24,-1.1160232454160715
0.24,-1.1156919755701264
0.25,-1.2091920873570023
0.25,-1.2088622228647596
0.26,-1.30596963415885
0.26,-1.3056411735286793
0.27,-1.406340527330577
0.27,-1.4060134690708477
0.28,-1.50996376731892
0.28,-1.5102894246998386
0.29,-1.6174767424191836
0.29,-1.6178010004129226
0.3,-1.7285370848366515
0.3,-1.728859944934842
0.31,-1.843129501355151
0.31,-1.843450965049425
0.32,-1.9612387150771842
0.32,-1.9615587838591706
0.33,-2.0828494654238705
0.33,-2.083168140785199
0.34,-2.2079465081349765
0.34,-2.2082637915672767
0.35000000000000003,-2.3365146152690417
0.35000000000000003,-2.336830508263946
0.36,-2.468538575203068
0.36,-2.468853079252207
0.37,-2.6043163092280937
0.37,-2.6040031926330878
0.38,-2.743205019206313
0.38,-2.7428932885738098
0.39,-2.8851937003585157
0.39,-2.8855040465201443
0.4,-3.031198244821584
0.4,-3.0308892816392023
0.41000000000000003,-3.1799649023865673
0.41000000000000003,-3.1802724840813332
0.42,-3.3324054488897454
0.42,-3.332711650588525
