Position (m),Deflection (mm)
0.0,0.0
0.0,0.0
0.03,-0.017389064370648653
0.03,-0.01670421221285246
0.06,-0.061808238344719685
0.06,-0.061233503910106436
0.09,-0.13623608361328868
0.09,-0.1356516670259703
0.12,-0.24006914842819294
0.12,-0.23949458256202155
0.15,-0.372949912179957
0.15,-0.37238195186564
0.18,-0.5345243142788354
0.18,-0.5339634365662154
0.21,-0.724437731239238
0.21,-0.7238838422003718
0.24,-0.9417896362181694
0.24,-0.9423365486985569
0.27,-1.1873283789193092
0.27,-1.1878683384812903
0.3,-1.4601487569149625
0.3,-1.4606817854885723
0.32999999999999996,-1.7604266938303623
0.32999999999999996,-1.7599005740443152
0.36,-2.08675398769114
0.36,-2.0862347545350612
0.39,-2.4393157110705506
0.39,-2.438803342380288
0.42,-2.8172595014067405
0.42,-2.8177650277944077
0.44999999999999996,-3.2212575152734244
0.44999999999999996,-3.221756221521847
0.48,-3.6504527874712065
0.48,-3.6509446957437204
0.51,-4.104501841322721
0.51,-4.104986973782657
0.54,-4.583540698792606
0.54,-4.5830623199819165
0.57,-5.085792986433888
0.57,-5.086264633758667
0.6,-5.612818661498317
0.6,-5.612353723496107
0.63,-6.162405533817758
0.63,-6.162863784660724
0.6599999999999999,-6.7356105398789925
0.6599999999999999,-6.736062125726042
0.69,-7.331631983992071
0.69,-7.332076927006535
0.72,-7.950572550644804
0.72,-7.950134228299604
0.75,-8.591214478614955
0.75,-8.59078275477569
0.78,-9.253244165225741
0.78,-9.2536693127224
0.8099999999999999,-9.93760477460289
0.8099999999999999,-9.937186181285488
0.84,-10.6422776444249
0.84,-10.6426897057264
0.87,-11.368594067394538
0.87,-11.36818851594563
0.8999999999999999,-12.114589876979887
0.8999999999999999,-12.114988940739535
0.9299999999999999,-12.881153928491058
0.9299999999999999,-12.88154652672481
0.96,-13.667553991276181
0.96,-13.667940146147359
0.99,-14.473464505963772
0.99,-14.473844239635705
1.02,-15.298934367648718
1.02,-15.298561033012726
1.05,-16.142520252715666
1.05,-16.142887210478992
1.08,-17.005019965187852
1.08,-17.005380568241783
1.1099999999999999,-17.88573909037562
1.1099999999999999,-17.886093360883482
1.14,-18.784357668057456
1.14,-18.784705628182543
1.17,-19.70089852974459
1.17,-19.70055685783902
1.2,-20.634354345008283
1.2,-20.634018939158942
1.23,-21.584756473234247
1.23,-21.584427311277896
1.26,-22.551466493290707
1.26,-22.551789433517335
